Data/Hora,Item,Pedra,Refino Antes,Refino Depois,Resultado
2025-08-07 04:08:37,Anel,PDI,5,0,Falha
2025-08-07 04:08:38,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:38,Anel,PDI,6,0,Falha
2025-08-07 04:08:38,Anel,PDI,5,0,Falha
2025-08-07 04:08:38,Anel,PDI,5,0,Falha
2025-08-07 04:08:38,Anel,PDI,5,0,Falha
2025-08-07 04:08:39,Anel,PDI,5,0,Falha
2025-08-07 04:08:39,Anel,PDI,5,0,Falha
2025-08-07 04:08:39,Anel,PDI,5,0,Falha
2025-08-07 04:08:39,Anel,PDI,5,0,Falha
2025-08-07 04:08:39,Anel,PDI,5,0,Falha
2025-08-07 04:08:40,Anel,PDI,5,0,Falha
2025-08-07 04:08:40,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:40,Anel,PDI,6,0,Falha
2025-08-07 04:08:40,Anel,PDI,5,0,Falha
2025-08-07 04:08:40,Anel,PDI,5,0,Falha
2025-08-07 04:08:40,Anel,PDI,5,0,Falha
2025-08-07 04:08:40,Anel,PDI,5,0,Falha
2025-08-07 04:08:41,Anel,PDI,5,0,Falha
2025-08-07 04:08:41,Anel,PDI,5,0,Falha
2025-08-07 04:08:41,Anel,PDI,5,0,Falha
2025-08-07 04:08:41,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:41,Anel,PDI,6,0,Falha
2025-08-07 04:08:41,Anel,PDI,5,0,Falha
2025-08-07 04:08:41,Anel,PDI,5,0,Falha
2025-08-07 04:08:41,Anel,PDI,5,0,Falha
2025-08-07 04:08:41,Anel,PDI,5,0,Falha
2025-08-07 04:08:41,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:42,Anel,PDI,6,0,Falha
2025-08-07 04:08:42,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:42,Anel,PDI,6,0,Falha
2025-08-07 04:08:42,Anel,PDI,5,0,Falha
2025-08-07 04:08:42,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:42,Anel,PDI,6,0,Falha
2025-08-07 04:08:42,Anel,PDI,5,0,Falha
2025-08-07 04:08:42,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:42,Anel,PDI,6,0,Falha
2025-08-07 04:08:42,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:42,Anel,PDI,6,0,Falha
2025-08-07 04:08:43,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:43,Anel,PDI,6,0,Falha
2025-08-07 04:08:43,Anel,PDI,5,0,Falha
2025-08-07 04:08:43,Anel,PDI,5,0,Falha
2025-08-07 04:08:43,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:43,Anel,PDI,6,0,Falha
2025-08-07 04:08:43,Anel,PDI,5,0,Falha
2025-08-07 04:08:43,Anel,PDI,5,0,Falha
2025-08-07 04:08:43,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:43,Anel,PDI,6,7,Sucesso
2025-08-07 04:08:44,Anel,PDI,7,0,Falha
2025-08-07 04:08:44,Anel,PDI,5,0,Falha
2025-08-07 04:08:44,Anel,PDI,5,0,Falha
2025-08-07 04:08:44,Anel,PDI,5,0,Falha
2025-08-07 04:08:44,Anel,PDI,5,0,Falha
2025-08-07 04:08:44,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:44,Anel,PDI,6,0,Falha
2025-08-07 04:08:44,Anel,PDI,5,0,Falha
2025-08-07 04:08:44,Anel,PDI,5,0,Falha
2025-08-07 04:08:44,Anel,PDI,5,0,Falha
2025-08-07 04:08:44,Anel,PDI,5,0,Falha
2025-08-07 04:08:45,Anel,PDI,5,0,Falha
2025-08-07 04:08:45,Anel,PDI,5,0,Falha
2025-08-07 04:08:45,Anel,PDI,5,0,Falha
2025-08-07 04:08:45,Anel,PDI,5,0,Falha
2025-08-07 04:08:45,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:45,Anel,PDI,6,0,Falha
2025-08-07 04:08:45,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:45,Anel,PDI,6,0,Falha
2025-08-07 04:08:45,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:45,Anel,PDI,6,7,Sucesso
2025-08-07 04:08:46,Anel,PDI,7,0,Falha
2025-08-07 04:08:46,Anel,PDI,5,0,Falha
2025-08-07 04:08:46,Anel,PDI,5,0,Falha
2025-08-07 04:08:46,Anel,PDI,5,6,Sucesso
2025-08-07 04:08:46,Anel,PDI,6,0,Falha
2025-08-07 04:08:46,Anel,PDI,5,0,Falha
2025-08-07 04:08:46,Anel,PDI,5,0,Falha
2025-08-07 04:08:46,Anel,PDI,5,0,Falha
2025-08-07 04:08:46,Anel,PDI,5,0,Falha
2025-08-07 04:08:46,Anel,PDI,5,0,Falha
