Item,Pedra,Sucesso,Antes,Depois,Data
Armadura,PDI,True,0,1,2025-08-07 12:41:20
Armadura,PDI,False,1,0,2025-08-07 12:41:20
Armadura,PDI,True,0,1,2025-08-07 12:41:20
Armadura,PDI,True,1,2,2025-08-07 12:41:20
Armadura,PDI,False,2,0,2025-08-07 12:41:21
Armadura,PDI,False,0,0,2025-08-07 12:41:21
Armadura,PDI,False,0,0,2025-08-07 12:41:21
Armadura,PDI,True,0,1,2025-08-07 12:41:21
Armadura,PDI,False,1,0,2025-08-07 12:41:21
Armadura,PDI,False,0,0,2025-08-07 12:41:21
Armadura,PDI,False,0,0,2025-08-07 12:41:21
Armadura,PDI,True,0,1,2025-08-07 12:41:22
Armadura,PDI,False,1,0,2025-08-07 12:41:22
Armadura,PDI,False,0,0,2025-08-07 12:41:22
Armadura,PDI,True,0,1,2025-08-07 12:41:22
Armadura,PDI,False,0,0,2025-08-07 12:41:29
Armadura,PDI,True,0,1,2025-08-07 12:41:30
Armadura,PDI,False,1,0,2025-08-07 12:41:30
Armadura,PDI,False,0,0,2025-08-07 12:41:30
Armadura,PDI,False,0,0,2025-08-07 12:41:31
Armadura,PDI,True,0,1,2025-08-07 12:41:31
Armadura,PDI,False,1,0,2025-08-07 12:41:32
Armadura,PDI,False,0,0,2025-08-07 12:41:32
Armadura,PDI,False,0,0,2025-08-07 12:41:33
Armadura,PDI,True,0,1,2025-08-07 12:41:33
Armadura,PDI,True,1,2,2025-08-07 12:41:33
Armadura,PDI,True,2,3,2025-08-07 12:41:33
Armadura,PDI,False,3,0,2025-08-07 12:41:34
Armadura,PDI,False,0,0,2025-08-07 12:41:34
Armadura,PDI,True,0,1,2025-08-07 12:41:35
Armadura,PDI,False,1,0,2025-08-07 12:41:36
Armadura,PDI,False,0,0,2025-08-07 12:41:36
Armadura,PDI,True,0,1,2025-08-07 12:41:39
Armadura,PDI,False,1,0,2025-08-07 12:41:39
Armadura,PDI,False,0,0,2025-08-07 12:41:41
Armadura,Pedra do Céu,True,0,1,2025-08-07 12:41:45
Armadura,PDI,False,0,0,2025-08-07 12:41:57
Armadura,PDI,True,0,1,2025-08-07 12:41:58
Armadura,PDI,True,1,2,2025-08-07 12:41:59
Armadura,PDI,False,2,0,2025-08-07 12:42:00
Armadura,PDI,False,0,0,2025-08-07 12:42:01
Armadura,PDI,False,0,0,2025-08-07 12:42:02
Armadura,PDI,True,0,1,2025-08-07 12:42:04
Armadura,PDI,False,1,0,2025-08-07 12:42:06
Armadura,PDI,True,0,1,2025-08-07 12:42:07
Armadura,Pedra do Céu,False,1,0,2025-08-07 12:42:12
Armadura,PDI,False,0,0,2025-08-07 12:42:14
Armadura,PDI,True,0,1,2025-08-07 12:42:15
Armadura,PDI,True,1,2,2025-08-07 12:42:16
Armadura,PDI,False,2,0,2025-08-07 12:42:20
Armadura,PDI,True,0,1,2025-08-07 13:14:02
Armadura,PDI,False,1,0,2025-08-07 13:14:02
Armadura,PDI,False,0,0,2025-08-07 13:14:02
Armadura,PDI,False,0,0,2025-08-07 13:14:03
Espada,PDI,True,0,1,2025-08-07 13:14:03
Espada,PDI,False,1,0,2025-08-07 13:14:03
Anel,PDI,True,5,6,2025-08-07 18:51:58
Anel,PDI,False,6,0,2025-08-07 18:51:58
Anel,PDI,False,5,0,2025-08-07 18:51:58
Anel,PDI,True,5,6,2025-08-07 18:51:58
Anel,PDI,True,6,7,2025-08-07 18:51:59
Anel,PDI,False,7,0,2025-08-07 18:51:59
